OFFSET,TOKEN,LEMMA,UPOS,XPOS,MORPH,HEAD,DEPREL,,,SMWE,,LEXLEMMA,SCENE ROLE,FUNCTION
1,Ich,ich,PPER,PPER,_,2,nsubj,_,_,_,_,_,_,_
2,brauchte,brauchte,VVFIN,VVFIN,_,0,root,_,_,_,_,_,_,_
3,lange,lange,ADV,ADV,_,7,advmod,_,_,_,_,_,_,_
4,",",",","$,","$,",_,7,punct,_,_,_,_,_,_,_
5,um,um,KOUI,KOUI,_,7,mark,_,_,1:1,_,um zu,Purpose,Purpose
6,zu,zu,PTKZU,PTKZU,_,7,aux,_,_,1:2,_,_,_,_
7,verstehen,verstehen,VVINF,VVINF,_,2,advmod,_,_,_,_,_,_,_
8,",",",","$,","$,",_,2,punct,_,_,_,_,_,_,_
9,woher,woher,ADV,ADV,_,11,mark,_,_,_,_,_,_,_
10,er,er,PPER,PPER,_,11,nsubj,_,_,_,_,_,_,_
11,kam,kam,VVFIN,VVFIN,_,2,advcl,_,_,_,_,_,_,_
12,.,.,$.,$.,_,2,punct,_,_,_,_,_,_,_
,,,,,,,,,,,,,,
"# text = Der kleine Prinz stellte mir viele Fragen , aber schien meine zu überhören .",,,,,,,,,,,,,,
1,Der,der,ART,ART,_,3,det,_,_,_,_,_,_,_
2,kleine,kleine,ADJA,ADJA,_,3,amod,_,_,_,_,_,_,_
3,Prinz,prinz,NOUN,NN,Number=Sing,4,nsubj,_,_,_,_,_,_,_
4,stellte,stellte,VVFIN,VVFIN,_,0,root,_,_,_,_,_,_,_
5,mir,mir,PPER,PPER,_,4,iobj,_,_,_,_,PRON_DAT,Recipient,Recipient
6,viele,viele,PIDAT,PIDAT,_,7,det,_,_,_,_,_,_,_
7,Fragen,fragen,NOUN,NN,Number=Sing,4,dobj,_,_,_,_,_,_,_
8,",",",","$,","$,",_,4,punct,_,_,_,_,_,_,_
9,aber,aber,ADV,ADV,_,4,cc,_,_,_,_,_,_,_
10,schien,schien,VVFIN,VVFIN,_,4,conj,_,_,_,_,_,_,_
11,meine,meine,VVFIN,VVFIN,_,13,dobj,_,_,_,_,PRON_POSS,Originator,Gestalt
12,zu,zu,PTKZU,PTKZU,_,13,aux,_,_,_,_,_,_,_
13-1,über,überhören,VVINF,VVINF,_,10,xcomp,_,_,_,_,über,PartPortion,Path
13-2,hören,überhören,VVINF,VVINF,_,10,xcomp,_,_,_,_,_,_,_
14,.,.,$.,$.,_,4,punct,_,_,_,_,_,_,_
,,,,,,,,,,,,,,
"# text = Es waren zufällig ausgesprochene Worte , durch die mir nach und nach alles klar wurde .",,,,,,,,,,,,,,
1,Es,es,PPER,PPER,_,5,nsubj,_,_,_,_,_,_,_
2,waren,waren,VAFIN,VAFIN,_,5,cop,_,_,_,_,_,_,_
3,zufällig,zufällig,ADJD,ADJD,_,4,advmod,_,_,_,_,_,_,_
4,ausgesprochene,ausgesprochene,ADJA,ADJA,_,5,amod,_,_,_,_,_,_,_
5,Worte,worte,NOUN,NN,Number=Sing,0,root,_,_,_,_,_,_,_
6,",",",","$,","$,",_,5,punct,_,_,_,_,_,_,_
7,durch,durch,APPR,APPR,_,9,case,_,_,_,_,durch,Explanation,Path
8,die,die,PRELS,PRELS,_,9,det,_,_,_,_,_,_,_
9,mir,mir,PPER,PPER,_,14,nmod,_,_,_,_,PRON_DAT,Experiencer,Recipient
10,nach,nach,APPR,APPR,_,13,case,_,_,1:1,_,nach und nach,Manner,Interval
11,und,und,KON,KON,_,10,cc,_,_,1:2,_,_,_,_
12,nach,nach,APPR,APPR,_,10,conj,_,_,1:3,_,_,_,_
13,alles,alles,PIS,PIS,_,14,nmod,_,_,_,_,_,_,_
14,klar,klar,ADJD,ADJD,_,5,acl,_,_,_,_,_,_,_
15,wurde,wurde,VAFIN,VAFIN,_,14,auxpass,_,_,_,_,_,_,_
16,.,.,$.,$.,_,5,punct,_,_,_,_,_,_,_
,,,,,,,,,,,,,,
"# text = Als er das erste Mal mein Flugzeug sah ( ich zeichne mein Flugzeug hier nicht , denn das ist viel zu schwierig für mich ) , da fragte er mich : - `` Was ist dieses Ding ? ''",,,,,,,,,,,,,,
1,Als,als,KOUS,KOUS,_,8,mark,_,_,_,_,als,Time,Time
2,er,er,PPER,PPER,_,8,nsubj,_,_,_,_,_,_,_
3,das,das,ART,ART,_,5,det,_,_,_,_,_,_,_
4,erste,erste,ADJA,ADJA,_,5,amod,_,_,_,_,_,_,_
5,Mal,mal,NOUN,NN,Number=Sing,8,nmod,_,_,_,_,_,_,_
6,mein,mein,PPOSAT,PPOSAT,_,7,det,_,_,_,_,PRON_POSS,Possessor,Possessor
7,Flugzeug,flugzeug,NOUN,NN,Number=Sing,8,nsubj,_,_,_,_,_,_,_
8,sah,sah,VVFIN,VVFIN,_,0,root,_,_,_,_,_,_,_
9,(,(,CARD,CARD,_,11,punct,_,_,_,_,_,_,_
10,ich,ich,PPER,PPER,_,11,nsubj,_,_,_,_,_,_,_
11,zeichne,zeichne,ADJD,ADJD,_,8,ccomp,_,_,_,_,_,_,_
12,mein,mein,PPOSAT,PPOSAT,_,13,det,_,_,_,_,PRON_POSS,Possessor,Possessor
13,Flugzeug,flugzeug,NOUN,NN,Number=Sing,11,dobj,_,_,_,_,_,_,_
14,hier,hier,ADV,ADV,_,15,advmod,_,_,_,_,_,_,_
15,nicht,nicht,PTKNEG,PTKNEG,_,13,neg,_,_,_,_,_,_,_
16,",",",","$,","$,",_,11,punct,_,_,_,_,_,_,_
17,denn,denn,KON,KON,_,22,cc,_,_,_,_,_,_,_
18,das,das,PDS,PDS,_,22,nsubj,_,_,_,_,_,_,_
19,ist,ist,VAFIN,VAFIN,_,22,cop,_,_,_,_,_,_,_
20,viel,viel,ADV,ADV,_,22,advmod,_,_,_,_,_,_,_
21,zu,zu,PTKA,PTKA,_,22,case,_,_,_,_,_,_,_
22,schwierig,schwierig,ADJD,ADJD,_,11,parataxis,_,_,_,_,_,_,_
23,für,für,APPR,APPR,_,24,case,_,_,_,_,für,Experiencer,Beneficiary
24,mich,mich,PPER,PPER,_,22,nmod,_,_,_,_,_,_,_
25,),),VVFIN,VVFIN,_,22,punct,_,_,_,_,_,_,_
26,",",",","$,","$,",_,11,punct,_,_,_,_,_,_,_
27,da,da,ADV,ADV,_,28,advmod,_,_,_,_,_,_,_
28,fragte,fragte,VVFIN,VVFIN,_,11,parataxis,_,_,_,_,_,_,_
29,er,er,PPER,PPER,_,28,nsubj,_,_,_,_,_,_,_
30,mich,mich,PPER,PPER,_,28,dobj,_,_,_,_,_,_,_
31,:,:,$.,$.,_,28,punct,_,_,_,_,_,_,_
32,-,-,$[,$[,_,37,punct,_,_,_,_,_,_,_
33,``,``,ADJD,ADJD,_,37,punct,_,_,_,_,_,_,_
34,Was,was,PWS,PWS,_,37,nsubj,_,_,_,_,_,_,_
35,ist,ist,VAFIN,VAFIN,_,37,cop,_,_,_,_,_,_,_
36,dieses,dieses,PDAT,PDAT,_,37,det,_,_,_,_,_,_,_
37,Ding,ding,NOUN,NN,Number=Sing,28,parataxis,_,_,_,_,_,_,_
38,?,?,$.,$.,_,37,punct,_,_,_,_,_,_,_
39,'','',VVPP,VVPP,_,11,punct,_,_,_,_,_,_,_
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
# text = Er nickte nur sanft während er mein Flugzeug betrachtete : - `` Auf diesem Ding kannst du nicht von sehr weit her kommen ... '',,,,,,,,,,,,,,
1,Er,er,PPER,PPER,_,2,nsubj,_,_,_,_,_,_,_
2,nickte,nickte,VVFIN,VVFIN,_,0,root,_,_,_,_,_,_,_
3,nur,nur,ADV,ADV,_,4,advmod,_,_,_,_,_,_,_
4,sanft,sanft,ADJD,ADJD,_,2,advmod,_,_,_,_,_,_,_
5,während,während,KOUS,KOUS,_,9,mark,_,_,_,_,während,Duration,Duration
6,er,er,PPER,PPER,_,9,nsubj,_,_,_,_,_,_,_
7,mein,mein,PPOSAT,PPOSAT,_,8,det,_,_,_,_,PRON_POSS,Possessor,Possessor
8,Flugzeug,flugzeug,NOUN,NN,Number=Sing,9,dobj,_,_,_,_,_,_,_
9,betrachtete,betrachtete,VVFIN,VVFIN,_,2,advcl,_,_,_,_,_,_,_
10,:,:,$.,$.,_,9,punct,_,_,_,_,_,_,_
11,-,-,$[,$[,_,23,punct,_,_,_,_,_,_,_
12,``,``,ADJD,ADJD,_,23,punct,_,_,_,_,_,_,_
13,Auf,auf,APPR,APPR,_,15,case,_,_,_,_,auf,Instrument,Locus
14,diesem,diesem,PDAT,PDAT,_,15,det,_,_,_,_,_,_,_
15,Ding,ding,NOUN,NN,Number=Sing,23,nmod,_,_,_,_,_,_,_
16,kannst,kannst,VMFIN,VMFIN,_,23,aux,_,_,_,_,_,_,_
17,du,du,PPER,PPER,_,23,iobj,_,_,_,_,_,_,_
18,nicht,nicht,PTKNEG,PTKNEG,_,23,neg,_,_,_,_,_,_,_
19,von,von,APPR,APPR,_,23,aux,_,_,_,_,von,Source,Source
20,sehr,sehr,ADV,ADV,_,21,advmod,_,_,_,_,_,_,_
21,weit,weit,ADJD,ADJD,_,22,advmod,_,_,_,_,_,_,_
22,her,she,PTKVZ,PTKVZ,_,23,advmod,_,_,_,_,_,_,_
23,kommen,kommen,VVINF,VVINF,_,9,ccomp,_,_,_,_,_,_,_
24,...,...,$[,$[,_,23,punct,_,_,_,_,_,_,_
25,'','',VVINF,VVINF,_,2,punct,_,_,_,_,_,_,_
,,,,,,,,,,,,,,
# text = Und er verfiel in eine lange Träumerei .,,,,,,,,,,,,,,
1,Und,und,KON,KON,_,3,cc,_,_,_,_,_,_,_
2,er,er,PPER,PPER,_,3,nsubj,_,_,_,_,_,_,_
3,verfiel,verfiel,VVFIN,VVFIN,_,0,root,_,_,_,_,_,_,_
4,in,in,APPR,APPR,_,7,case,_,_,_,_,in,Goal,Goal
5,eine,eine,ART,ART,_,7,det,_,_,_,_,_,_,_
6,lange,lange,ADJA,ADJA,_,7,amod,_,_,_,_,_,_,_
7,Träumerei,träumerei,NOUN,NN,Number=Sing,3,nmod,_,_,_,_,_,_,_
8,.,.,$.,$.,_,3,punct,_,_,_,_,_,_,_
,,,,,,,,,,,,,,
# text = Er holte das Schaf aus seiner Tasche und bewunderte lange Zeit seinen Schatz .,,,,,,,,,,,,,,
1,Er,er,PPER,PPER,_,2,nsubj,_,_,_,_,_,_,_
2,holte,holte,VVFIN,VVFIN,_,0,root,_,_,_,_,_,_,_
3,das,das,ART,ART,_,4,det,_,_,_,_,_,_,_
4,Schaf,schaf,NOUN,NN,Number=Sing,2,dobj,_,_,_,_,_,_,_
5,aus,aus,APPR,APPR,_,7,case,_,_,_,_,aus,Source,Source
6,seiner,seiner,PPOSAT,PPOSAT,_,7,det,_,_,_,_,PRON_POSS,Possessor,Possessor
7,Tasche,tasche,NOUN,NN,Number=Sing,2,nmod,_,_,_,_,_,_,_
8,und,und,KON,KON,_,2,cc,_,_,_,_,_,_,_
9,bewunderte,bewunderte,VVFIN,VVFIN,_,2,conj,_,_,_,_,_,_,_
10,lange,lange,ADJA,ADJA,_,11,amod,_,_,_,_,_,_,_
11,Zeit,zeit,NOUN,NN,Number=Sing,9,dobj,_,_,_,_,_,_,_
12,seinen,seinen,PPOSAT,PPOSAT,_,13,nmod:poss,_,_,_,_,PRON_POSS,Possessor,Possessor
13,Schatz,schatz,NOUN,NN,Number=Sing,9,dobj,_,_,_,_,_,_,_
14,.,.,$.,$.,_,2,punct,_,_,_,_,_,_,_
,,,,,,,,,,,,,,
"# text = Ihr könnt euch vorstellen , wie sehr es mich beschäftigte , was er mir über die `` anderen Planeten '' schon halb anvertraut hatte .",,,,,,,,,,,,,,
1,Ihr,ihr,PPER,PPER,_,2,nmod:poss,_,_,_,_,_,_,_
2,könnt,könnt,VVFIN,VVFIN,_,4,nsubj,_,_,_,_,_,_,_
3,euch,euch,PRF,PRF,_,4,dobj,_,_,_,_,_,_,_
4-1,vor,vorstellen,VVINF,VVINF,_,0,root,_,_,_,_,_,_,_
4-2,stellen,vorstellen,VVINF,VVINF,_,0,root,_,_,_,_,_,_,_
5,",",",","$,","$,",_,4,punct,_,_,_,_,_,_,_
6,wie,wie,PWAV,PWAV,_,10,mark,_,_,_,_,wie,Extent,ComparisonRef
7,sehr,sehr,ADV,ADV,_,10,advmod,_,_,_,_,_,_,_
8,es,es,PPER,PPER,_,10,nsubj,_,_,_,_,_,_,_
9,mich,mich,PPER,PPER,_,10,dobj,_,_,_,_,_,_,_
10,beschäftigte,beschäftigte,VVFIN,VVFIN,_,4,advcl,_,_,_,_,_,_,_
11,",",",","$,","$,",_,10,punct,_,_,_,_,_,_,_
12,was,was,PWS,PWS,_,4,dep,_,_,_,_,_,_,_
13,er,er,PPER,PPER,_,12,appos,_,_,_,_,_,_,_
14,mir,mir,PPER,PPER,_,13,dep,_,_,_,_,PRON_DAT,Recipient,Recipient
15,über,über,APPR,APPR,_,19,case,_,_,_,_,über,Topic,Path
16,die,die,ART,ART,_,19,det,_,_,_,_,_,_,_
17,``,``,ADJA,ADJA,_,19,punct,_,_,_,_,_,_,_
18,anderen,anderen,ADJA,ADJA,_,19,amod,_,_,_,_,_,_,_
19,Planeten,planeten,NOUN,NN,Number=Sing,14,nmod,_,_,_,_,_,_,_
20,'','',ADV,ADV,_,19,punct,_,_,_,_,_,_,_
21,schon,schon,ADV,ADV,_,23,advmod,_,_,_,_,_,_,_
22,halb,halb,ADJD,ADJD,_,23,advmod,_,_,_,_,_,_,_
23-1,an,anvertraut,VVPP,VVPP,_,19,acl,_,_,_,_,an,Recipient,Goal
23-2,vertraut,anvertraut,VVPP,VVPP,_,19,acl,_,_,_,_,_,_,_
24,hatte,hatte,VAFIN,VAFIN,_,23,aux,_,_,_,_,_,_,_
25,.,.,$.,$.,_,14,punct,_,_,_,_,_,_,_
,,,,,,,,,,,,,,
"# text = So strengte ich mich an , mehr darüber zu erfahren : - `` Woher kommst du kleiner Kerl ?",,,,,,,,,,,,,,
1,So,so,ADV,ADV,_,2,advmod,_,_,_,_,_,_,_
2,strengte,strengte,VVFIN,VVFIN,_,0,root,_,_,_,_,_,_,_
3,ich,ich,PPER,PPER,_,2,nsubj,_,_,_,_,_,_,_
4,mich,mich,PPER,PPER,_,2,dobj,_,_,_,_,_,_,_
5,an,an,PTKVZ,PTKVZ,_,2,mark,_,_,_,_,_,_,_
6,",",",","$,","$,",_,2,punct,_,_,_,_,_,_,_
7,mehr,mehr,ADV,ADV,_,8,advmod,_,_,_,_,_,_,_
8,darüber,darüber,PROAV,PROAV,_,10,advmod,_,_,_,_,über,Topic,Path
9,zu,zu,PTKZU,PTKZU,_,10,aux,_,_,_,_,_,_,_
10,erfahren,erfahren,VVINF,VVINF,_,2,xcomp,_,_,_,_,_,_,_
11,:,:,$.,$.,_,2,punct,_,_,_,_,_,_,_
12,-,-,$[,$[,_,15,punct,_,_,_,_,_,_,_
13,``,``,ADV,ADV,_,15,punct,_,_,_,_,_,_,_
14,Woher,woher,PWAV,PWAV,_,15,amod,_,_,_,_,_,_,_
15,kommst,kommst,VVFIN,VVFIN,_,2,appos,_,_,_,_,_,_,_
16,du,du,PPER,PPER,_,18,case,_,_,_,_,_,_,_
17,kleiner,kleiner,ADJA,ADJA,_,18,amod,_,_,_,_,_,_,_
18,Kerl,kerl,NOUN,NN,Number=Sing,15,nmod,_,_,_,_,_,_,_
19,?,?,$.,$.,_,2,punct,_,_,_,_,_,_,_
,,,,,,,,,,,,,,
# text = Wo ist dein Zuhause ?,,,,,,,,,,,,,,
1,Wo,wo,PWAV,PWAV,_,4,nsubj,_,_,_,_,_,_,_
2,ist,ist,VAFIN,VAFIN,_,4,cop,_,_,_,_,_,_,_
3,dein,dein,PPOSAT,PPOSAT,_,4,det,_,_,_,_,PRON_POSS,Gestalt,Gestalt
4,Zuhause,zuhause,NOUN,NN,Number=Sing,0,root,_,_,_,_,_,_,_
5,?,?,$.,$.,_,4,punct,_,_,_,_,_,_,_
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"# text = Er antwortete mir nach einem nachdenklichen Schweigen : - `` Das Gute an der Kiste , die du mir gegeben hast , ist , dass sie ihm als Haus dienen wird in der Nacht . ''",,,,,,,,,,,,,,
1,Er,er,PPER,PPER,_,2,nsubj,_,_,_,_,_,_,_
2,antwortete,antwortete,VVFIN,VVFIN,_,0,root,_,_,_,_,_,_,_
3,mir,mir,PPER,PPER,_,2,iobj,_,_,_,_,PRON_DAT,Recipient,Recipient
4,nach,nach,APPR,APPR,_,7,case,_,_,_,_,nach,Time,Time
5,einem,einem,ART,ART,_,7,det,_,_,_,_,_,_,_
6,nachdenklichen,nachdenklichen,ADJA,ADJA,_,7,amod,_,_,_,_,_,_,_
7,Schweigen,schweigen,NOUN,NN,Number=Sing,2,nmod,_,_,_,_,_,_,_
8,:,:,$.,$.,_,7,punct,_,_,_,_,_,_,_
9,-,-,$[,$[,_,12,punct,_,_,_,_,_,_,_
10,``,``,ADJD,ADJD,_,12,punct,_,_,_,_,_,_,_
11,Das,das,ART,ART,_,12,det,_,_,_,_,_,_,_
12,Gute,gute,NOUN,NN,Number=Sing,7,appos,_,_,_,_,_,_,_
13,an,a,APPR,APPR,_,15,case,_,_,_,_,an,Gestalt,Locus
14,der,der,ART,ART,_,15,det,_,_,_,_,_,_,_
15,Kiste,kiste,NOUN,NN,Number=Sing,12,nmod,_,_,_,_,_,_,_
16,",",",","$,","$,",_,12,punct,_,_,_,_,_,_,_
17,die,die,PRELS,PRELS,_,20,dobj,_,_,_,_,_,_,_
18,du,du,PPER,PPER,_,20,nsubj,_,_,_,_,_,_,_
19,mir,mir,PPER,PPER,_,20,iobj,_,_,_,_,PRON_DAT,Recipient,Recipient
20,gegeben,gegeben,VVPP,VVPP,_,2,xcomp,_,_,_,_,_,_,_
21,hast,hast,VAFIN,VAFIN,_,20,aux,_,_,_,_,_,_,_
22,",",",","$,","$,",_,20,punct,_,_,_,_,_,_,_
23,ist,ist,VAFIN,VAFIN,_,20,conj,_,_,_,_,_,_,_
24,",",",","$,","$,",_,30,punct,_,_,_,_,_,_,_
25,dass,dass,KOUS,KOUS,_,30,mark,_,_,_,_,_,_,_
26,sie,sie,PPER,PPER,_,30,nsubj,_,_,_,_,_,_,_
27,ihm,ihm,PPER,PPER,_,30,iobj,_,_,_,_,PRON_DAT,Beneficiary,Recipient
28,als,als,APPR,APPR,_,29,case,_,_,_,_,als,Identity,Identity
29,Haus,haus,NOUN,NN,Number=Sing,30,nmod,_,_,_,_,_,_,_
30,dienen,dienen,VVINF,VVINF,_,23,acl,_,_,_,_,_,_,_
31,wird,wird,VAFIN,VAFIN,_,30,case,_,_,_,_,_,_,_
32,in,in,APPR,APPR,_,34,case,_,_,_,_,in,Time,Time
33,der,der,ART,ART,_,34,det,_,_,_,_,_,_,_
34,Nacht,nacht,NOUN,NN,Number=Sing,31,nmod,_,_,_,_,_,_,_
35,.,.,$.,$.,_,34,punct,_,_,_,_,_,_,_
36,'','',VVPP,VVPP,_,34,punct,_,_,_,_,_,_,_
,,,,,,,,,,,,,,
# text = - `` Ganz bestimmt .,,,,,,,,,,,,,,
1,-,-,$[,$[,_,3,punct,_,_,_,_,_,_,_
2,``,``,VVFIN,VVFIN,_,3,punct,_,_,_,_,_,_,_
3,Ganz,ganz,ADV,ADV,_,0,root,_,_,_,_,_,_,_
4,bestimmt,bestimmt,ADJD,ADJD,_,3,advmod,_,_,_,_,_,_,_
5,.,.,$.,$.,_,3,punct,_,_,_,_,_,_,_
,,,,,,,,,,,,,,
"# text = Und wenn du nett bist , gebe ich dir auch einen Strick , um es nachts festzubinden .",,,,,,,,,,,,,,
1,Und,und,KON,KON,_,5,cc,_,_,_,_,_,_,_
2,wenn,wenn,KOUS,KOUS,_,5,mark,_,_,_,_,_,_,_
3,du,du,PPER,PPER,_,5,nsubj,_,_,_,_,_,_,_
4,nett,nett,ADJD,ADJD,_,5,advmod,_,_,_,_,_,_,_
5,bist,bist,VAFIN,VAFIN,_,7,advcl,_,_,_,_,_,_,_
6,",",",","$,","$,",_,7,punct,_,_,_,_,_,_,_
7,gebe,gebe,VVFIN,VVFIN,_,0,root,_,_,_,_,_,_,_
8,ich,ich,PPER,PPER,_,7,nsubj,_,_,_,_,_,_,_
9,dir,dir,PRF,PRF,_,7,nmod,_,_,_,_,PRON_DAT,Recipient,Recipient
10,auch,auch,ADV,ADV,_,7,advmod,_,_,_,_,_,_,_
11,einen,einen,ART,ART,_,12,det,_,_,_,_,_,_,_
12,Strick,strick,NOUN,NN,Number=Sing,7,dobj,_,_,_,_,_,_,_
13,",",",","$,","$,",_,12,punct,_,_,_,_,_,_,_
14,um,um,KOUI,KOUI,_,17,mark,_,_,_,_,um zu,Purpose,Purpose
15,es,es,PPER,PPER,_,17,dobj,_,_,_,_,_,_,_
16,nachts,nachts,ADV,ADV,_,17,advmod,_,_,_,_,_,_,_
17,festzubinden,festzubinden,VVIZU,VVIZU,_,12,advcl,_,_,_,_,_,_,_
18,.,.,$.,$.,_,7,punct,_,_,_,_,_,_,_
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
# text = Erneut brach mein Freund in Lachen aus : - `` Aber wohin soll es denn deiner Meinung nach gehen ? '',,,,,,,,,,,,,,
1,Erneut,erneut,ADJD,ADJD,_,2,advmod,_,_,_,_,_,_,_
2,brach,brach,VVFIN,VVFIN,_,0,root,_,_,_,_,_,_,_
3,mein,mein,PPOSAT,PPOSAT,_,4,det,_,_,_,_,PRON_POSS,SocialRel,Gestalt
4,Freund,freund,NOUN,NN,Number=Sing,2,nsubj,_,_,_,_,_,_,_
5,in,in,APPR,APPR,_,6,case,_,_,_,_,in,Goal,Goal
6,Lachen,lachen,NOUN,NN,Number=Sing,2,nmod,_,_,_,_,_,_,_
7,aus,aus,APZR,APZR,_,2,mark,_,_,_,_,aus,Direction,Direction
8,:,:,$.,$.,_,2,punct,_,_,_,_,_,_,_
9,-,-,$[,$[,_,19,punct,_,_,_,_,_,_,_
10,``,``,VVINF,VVINF,_,19,punct,_,_,_,_,_,_,_
11,Aber,aber,KON,KON,_,19,cc,_,_,_,_,_,_,_
12,wohin,wohin,PWAV,PWAV,_,19,advmod,_,_,_,_,_,_,_
13,soll,soll,VMFIN,VMFIN,_,19,aux,_,_,_,_,_,_,_
14,es,es,PPER,PPER,_,19,nsubj,_,_,_,_,_,_,_
15,denn,denn,ADV,ADV,_,19,advmod,_,_,_,_,_,_,_
16,deiner,deiner,ADJA,ADJA,_,17,amod,_,_,_,_,PRON_POSS,Experiencer,Gestalt
17,Meinung,meinung,NOUN,NN,Number=Sing,19,dobj,_,_,_,_,_,_,_
18,nach,nach,APPO,APPO,_,19,advmod,_,_,_,_,nach,,Direction
19,gehen,gehen,VVINF,VVINF,_,2,ccomp,_,_,_,_,_,_,_
20,?,?,$.,$.,_,19,punct,_,_,_,_,_,_,_
21,'','',NOUN,NN,Number=Sing,2,punct,_,_,_,_,_,_,_
,,,,,,,,,,,,,,
"# text = - `` Egal wohin , einfach geradeaus ... ''",,,,,,,,,,,,,,
1,-,-,$[,$[,_,3,punct,_,_,_,_,_,_,_
2,``,``,NOUN,NN,Number=Sing,3,punct,_,_,_,_,_,_,_
3,Egal,egal,ADJD,ADJD,_,4,name,_,_,_,_,_,_,_
4,wohin,wohin,PWAV,PWAV,_,0,root,_,_,_,_,_,_,_
5,",",",","$,","$,",_,4,punct,_,_,_,_,_,_,_
6,einfach,einfach,ADV,ADV,_,7,advmod,_,_,_,_,_,_,_
7,geradeaus,geradeaus,ADV,ADV,_,4,appos,_,_,_,_,_,_,_
8,...,...,$[,$[,_,7,punct,_,_,_,_,_,_,_
9,'','',ADJD,ADJD,_,4,punct,_,_,_,_,_,_,_
,,,,,,,,,,,,,,
"# text = In dem ernsten Ton bemerkte der kleine Prinz : - `` Das macht nichts , es ist so klein bei mir ! ''",,,,,,,,,,,,,,
1,In,in,APPR,APPR,_,4,case,_,_,_,_,in,Manner,Locus
2,dem,dem,ART,ART,_,4,det,_,_,_,_,_,_,_
3,ernsten,ernsten,ADJA,ADJA,_,4,amod,_,_,_,_,_,_,_
4,Ton,ton,NOUN,NN,Number=Sing,5,nmod,_,_,_,_,_,_,_
5,bemerkte,bemerkte,VVFIN,VVFIN,_,0,root,_,_,_,_,_,_,_
6,der,der,ART,ART,_,8,det,_,_,_,_,_,_,_
7,kleine,kleine,ADJA,ADJA,_,8,amod,_,_,_,_,_,_,_
8,Prinz,prinz,NOUN,NN,Number=Sing,5,nsubj,_,_,_,_,_,_,_
9,:,:,$.,$.,_,8,punct,_,_,_,_,_,_,_
10,-,-,$[,$[,_,13,punct,_,_,_,_,_,_,_
11,``,``,ADV,ADV,_,13,punct,_,_,_,_,_,_,_
12,Das,das,PDS,PDS,_,13,nsubj,_,_,_,_,_,_,_
13,macht,macht,VVFIN,VVFIN,_,8,appos,_,_,_,_,_,_,_
14,nichts,nichts,PIS,PIS,_,5,dobj,_,_,_,_,_,_,_
15,",",",","$,","$,",_,5,punct,_,_,_,_,_,_,_
16,es,es,PPER,PPER,_,19,nsubj,_,_,_,_,_,_,_
17,ist,ist,VAFIN,VAFIN,_,19,cop,_,_,_,_,_,_,_
18,so,so,ADV,ADV,_,19,advmod,_,_,_,_,_,_,_
19,klein,klein,ADJD,ADJD,_,5,parataxis,_,_,_,_,_,_,_
20,bei,bei,APPR,APPR,_,21,case,_,_,_,_,bei,Locus,Locus
21,mir,mir,PPER,PPER,_,19,nmod,_,_,_,_,_,_,_
22,!,!,$.,$.,_,5,punct,_,_,_,_,_,_,_
23,'','',XY,XY,_,5,punct,_,_,_,_,_,_,_
,,,,,,,,,,,,,,
# text = Kapitel VI,,,,,,,,,,,,,,
1,Kapitel,kapitel,NOUN,NN,Number=Sing,0,root,_,_,_,_,_,_,_
2,VI,vi,CARD,CARD,_,1,appos,_,_,_,_,_,_,_
,,,,,,,,,,,,,,
"# text = Ach , kleiner Prinz , nach und nach habe ich so dein kleines trauriges Leben verstanden .",,,,,,,,,,,,,,
1,Ach,ach,ITJ,ITJ,_,0,root,_,_,_,_,_,_,_
2,",",",","$,","$,",_,1,punct,_,_,_,_,_,_,_
3,kleiner,kleiner,ADJA,ADJA,_,4,amod,_,_,_,_,_,_,_
4,Prinz,prinz,NOUN,NN,Number=Sing,1,appos,_,_,_,_,_,_,_
5,",",",","$,","$,",_,4,punct,_,_,_,_,_,_,_
6,nach,nach,APPR,APPR,_,16,advmod,_,_,1:1,_,nach und nach,Manner,Interval
7,und,und,KON,KON,_,6,cc,_,_,1:2,_,_,_,_
8,nach,nach,APPR,APPR,_,6,conj,_,_,1:3,_,_,_,_
9,habe,habe,VAFIN,VAFIN,_,16,aux,_,_,_,_,_,_,_
10,ich,ich,PPER,PPER,_,16,nsubj,_,_,_,_,_,_,_
11,so,so,ADV,ADV,_,16,advmod,_,_,_,_,_,_,_
12,dein,dein,PPOSAT,PPOSAT,_,15,det,_,_,_,_,PRON_POSS,Theme,Gestalt
13,kleines,kleines,ADJA,ADJA,_,15,amod,_,_,_,_,_,_,_
14,trauriges,trauriges,ADJA,ADJA,_,15,amod,_,_,_,_,_,_,_
15,Leben,leben,NOUN,NN,Number=Sing,16,nsubj,_,_,_,_,_,_,_
16,verstanden,verstanden,VVPP,VVPP,_,4,conj,_,_,_,_,_,_,_
17,.,.,$.,$.,_,1,punct,_,_,_,_,_,_,_
,,,,,,,,,,,,,,
"# text = Lange Zeit blieb dir nur die Lieblichkeit der Sonnenuntergänge , um dich zu zerstreuen .",,,,,,,,,,,,,,
1,Lange,lange,ADJA,ADJA,_,2,amod,_,_,_,_,_,_,_
2,Zeit,zeit,NOUN,NN,Number=Sing,0,root,_,_,_,_,_,_,_
